,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2014-04-22,63645,47861,5510,10070,54668,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1399.5999755859375,0.7007306151308037,-44598,3.389299773350829,42351,-2.8271501848980076,0.05123729494269208,0.08337861385396564,-0.030815041030621382,0.021791940934573928,0.5307580512067742
2014-04-29,63427,47024,6881,10982,52961,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1430.0999755859375,0.6618474782032888,-41979,4.115012962526515,40143,-3.469243459816168,0.04095835353361588,0.04096094981912624,0.021791940934573928,0.01887979893778935,0.5334162060024789
2014-05-06,64939,49285,6478,10585,55430,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1457.0999755859375,0.6905711513882259,-44845,-4.518580415280559,42807,4.200104056632034,0.04341437552071499,0.04777361332783387,0.01887979893778935,-0.0016471240507003326,0.536908505034912
2014-05-13,67432,51861,5656,10275,57912,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1454.699951171875,0.7064450112706133,-47637,-4.299419455181016,46205,5.232602904264001,0.04094622142050537,0.0590781855799155,-0.0016471240507003326,0.00921153836794164,0.5403309806564125
2014-05-20,70109,53957,7132,10483,60208,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1468.0999755859375,0.7092527350268867,-49725,-3.096452722742911,46825,0.9194447739945426,0.03542176514690696,0.058472065347280194,0.00921153836794164,-0.002315935202373054,0.5451174237553517
2014-05-27,70304,52924,7237,11216,59874,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1464.699951171875,0.6921085571233501,-48658,1.5219158738535707,45687,-1.6231867520575105,0.015009143339428894,0.018915908977576834,-0.002315935202373054,-0.019935790363420636,0.5507214747632238
2014-06-03,69875,52226,6420,11399,60232,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1435.5,0.6988622540250448,-48833,-0.24891898042785618,45806,0.16926490669094219,0.007552595943097262,0.025832963885004945,-0.019935790363420636,0.033925427496952265,0.5556245345092622
2014-06-10,69756,50854,8810,12955,57562,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1484.199951171875,0.6394718733872355,-44607,6.047942754919499,42044,-5.383899821109123,0.059928811492264276,0.06305309734513274,0.033925427496952265,-0.026344142886587152,0.5586008100354339
2014-06-17,67854,48502,7224,13662,57382,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1445.0999755859375,0.6443245792436703,-43720,1.2715752050002866,41278,-1.0981134239348587,0.012485220426777771,0.07066719305171733,-0.026344142886587152,0.019929450774814006,0.5630345096913179
2014-06-24,65525,48282,4847,11626,57977,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1473.9000244140625,0.7073788630293781,-46351,-3.877442744716597,43435,3.178884074630825,0.03780009482349899,0.048881025428673605,0.019929450774814006,0.02686747739330575,0.5701501560101572
