,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-12-16,147446,29180,18867,78671,101406,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.91839998960495,0.1541920431886928,-22735,-1.2665858399767003,10313,1.0586490202586003,0.011028615536687084,0.12181821965991634,0.03586732622147171,0.011977392549873844,0.13150743789834096
2003-12-30,139709,29520,19467,78001,99150,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9294000267982484,0.15137893764897037,-21149,1.0756480338564627,10053,-0.17633574325515783,0.01651698268708616,0.0191887643660563,0.011977392549873844,0.05164619828003336,0.13190486789335357
2004-01-06,140772,31710,19273,72703,99119,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.977400004863739,0.1876509533145796,-26416,-3.7699790278364316,12437,1.7064040255101676,0.031014654700795008,0.046760684934193754,0.05164619828003336,0.012072837192663943,0.132997928391809
2004-01-13,153447,31308,20443,85551,104763,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.989199995994568,0.12520283876517624,-19212,5.117494956383372,10865,-1.1166993436194699,0.09716573662473596,0.030376224614017122,0.012072837192663943,0.030024303414396325,0.13284802282206604
2004-01-20,162395,29814,23500,90737,108965,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0189000368118286,0.11224483512423412,-18228,0.6412637588222644,6314,-2.965844884552973,0.047010044967000834,0.08536219379525078,0.030024303414396325,-0.026008484930596043,0.1321850510794524
2004-01-27,159584,29593,23261,88681,106168,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9923999905586244,0.10957865450170443,-17487,0.45629483666369036,6332,0.011084085101142277,0.024906466032671454,0.008703220191470844,-0.026008484930596043,-0.07879885468268555,0.13207556214853958
2004-02-03,141064,26634,23293,82407,95869,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9142000079154968,0.0954318607157035,-13462,2.522182674954883,3341,-1.8742480449167838,0.09296259732100788,0.05990746489875218,-0.07879885468268555,-0.017720417707156266,0.1318579072711264
2004-02-10,143070,19595,22241,91684,93802,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8980000019073486,0.014803942126231914,-2118,8.041739919469178,-2646,-4.244172857709976,0.061158254531339294,0.19339803040443637,-0.017720417707156266,0.047104661242511225,0.12998979687276152
2004-02-17,148855,22342,23657,90238,96786,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9402999877929688,0.043989116925867454,-6548,-3.096386384287412,-1315,0.9303138323897392,0.02368679955513731,0.09050196743407465,0.047104661242511225,-0.05381260547924083,0.12791845951416517
2004-02-24,142181,20233,22667,87775,92607,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8896999955177307,0.033984850296453116,-4832,1.1527997044103322,-2434,-0.7517382687850593,0.03682185583927443,0.07223776223776224,-0.05381260547924083,0.050354033637332485,0.12651756058257255
